400.91127|ISTEP  9. 7 - proc_fab_iovalid
401.19928|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0504001906040000
401.19931|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0604000106040002
401.19935|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0604001806040019
401.19938|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0D0400000D040001
401.19941|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0D0400020E040000
401.19944|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0E0400010E040002
401.19947|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0F0400000F040001
401.19950|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0F04000205011C2E
401.19953|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 05011C0A00040020
401.19956|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 010F001E010F001F
401.19959|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 060F001E060F001F
401.19963|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0101080A020110A1
401.19967|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 020110A202011057
401.19970|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0201105805011C2C
401.19973|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501284C0501284D
401.19976|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0501284E05012C22
401.19979|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0004000500040006
401.19982|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 0004000700040008
401.19986|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006D015 000400090004000E
