436.48759|ISTEP 13. 8 - mss_scominit
436.61912|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800048000701103F 000000000000FFFF
436.61916|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80004C000701103F 0000000000000000
436.61921|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 80004C000701103F 000000000000FFFF
436.61926|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800080310701103F 0000000000000000
436.61931|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800080310701103F 0000000000000008
436.61936|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800080330701103F 0000000000000000
436.61941|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800080330701103F 0000000000006000
436.61946|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000803D0701103F 0000000000006740
436.61951|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000803D0701103F 0000000000006740
436.61957|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800084310701103F 0000000000000000
436.61962|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800084310701103F 0000000000000008
436.61967|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800084330701103F 0000000000000000
436.61972|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 800084330701103F 0000000000006000
436.61977|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000843D0701103F 0000000000006740
436.61982|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000843D0701103F 0000000000006740
436.61987|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000C00C0701103F 0000000000000000
436.61992|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c0 : 8000C00C0701103F 0000000000000202
436.61993|FAPI|p9_mss_scominit.C: scominit for pu.mca:k0:n0:s0:p00:c1
436.61996|FAPI|p9_mss_scominit.C: mca scominit for pu.mca:k0:n0:s0:p00:c1
436.62616|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010823 000003FFFF200FC0
436.62621|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010823 0000020FFF200FC0
436.62626|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010824 DB600000000539F0
436.62782|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010824 2EF00004000539F0
436.62786|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010825 0004000000000000
436.62791|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010825 0CFFFFF900000000
436.62795|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010826 0000000000000000
436.62800|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010826 0104040419190000
436.62957|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010827 0000000000000000
436.62962|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000005010827 9098331000000000
436.62966|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000501082B 0000000000000000
436.62971|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000501082B 00000001005C0000
436.62976|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090A 14F14F3043000000
436.62980|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090A 14A0056097000000
436.62984|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090B 8445844562D6C8A2
436.62989|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090B B447B4478420CB2C
436.62993|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090C 665084270022946A
436.62997|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090C 771C9CEB0026A47B
436.63002|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090D 71FFE00033F7FD40
436.63006|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090D 73FFE00033F7FD00
436.63010|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090E FC000881F0010052
436.63015|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090E FC000881F0010042
436.63019|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804000120C
436.63023|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200120B
436.63028|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010914 11635F11635F0000
436.63032|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010914 1161161161160000
436.63036|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010915 4848121284842121
436.63041|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010915 0000000080000000
436.63045|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010932 0704000100401860
436.63050|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010932 03A0E001D3283040
436.63054|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010934 0285280202100000
436.63059|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010934 0127380202100000
436.63064|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010935 008630AC00000000
436.63068|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010935 0082B9CEAC028380
436.63073|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0A10603810800000
436.63077|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0A10C23810800000
436.63082|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0B 0000000000000000
436.63086|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0B 0000000000000000
436.63090|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A38 0020000000000000
436.63095|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A38 0060000000000000
436.63098|FAPI|p9_mss_scominit.C: mca thermal throttle scominit for pu.mca:k0:n0:s0:p00:c1
436.75364|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010934 0127380202100000
436.85048|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010934 012739DF82100000
436.85054|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010935 0082B9CEAC028380
436.85059|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010935 3FF2B9CEAC028380
436.95628|FAPI|mc.C: For target pu.mca:k0:n0:s0:p00:c1 throttled n commands per port are 128, per slot are 128, and dram m clocks are 512
436.95633|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010916 0000000000002000
436.95638|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010916 0100010010002000
436.95643|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010917 0010100010080000
436.95647|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010917 0010100008020000
436.95649|FAPI|p9_mss_scominit.C: phy scominit for pu.mca:k0:n0:s0:p00:c1
436.95655|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000002A0701103F 0000000000006740
436.95660|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000002A0701103F 0000000000006740
436.95665|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000002B0701103F 0000000000006740
436.95670|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000002B0701103F 0000000000006740
436.95678|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000740701103F 0000000000000000
436.95683|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000740701103F 0000000000006000
436.95688|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000750701103F 0000000000000000
436.95693|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000750701103F 0000000000004000
