491.98200|FAPI|p9_cpu_special_wakeup_lib.H: Special wakeup done is set.  SUCCESS!  ... 
491.98201|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98202|FAPI|p9_cpu_special_wakeup_lib.H: << p9_cpu_special_wakeup
491.98203|FAPI|p9_cpu_special_wakeup_ex.C: << p9_cpu_special_wakeup_ex
491.98204|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98209|FAPI|plat_utils.C: platSpecialWakeup : HUID=00060002, enable=1
491.98210|FAPI|p9_cpu_special_wakeup_ex.C: >> p9_cpu_special_wakeup_ex
491.98211|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98217|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0080000000000000
491.98219|FAPI|p9_cpu_special_wakeup_ex.C: > set_addresses for EX
491.98221|FAPI|p9_cpu_special_wakeup_ex.C: < set_addresses for EX
491.98222|FAPI|p9_cpu_special_wakeup_lib.H: < spwkup_setup_entity
491.98223|FAPI|p9_cpu_special_wakeup_lib.H: Ignore XSTOP:  NO
491.98225|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000000F001A 0000000000000000
491.98226|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98227|FAPI|p9_cpu_special_wakeup_lib.H: Setting Special Wake-up  ...
491.98229|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000240F0111 00F0F00000000000
491.98231|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000240F010B 0000000000000000
491.98234|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000240F0100 0011000000000000
491.98236|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 00000000240F010B 8000000000000000
491.98238|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000240F0100 D011000000000000
491.98763|FAPI|p9_cpu_special_wakeup_lib.H: Special wakeup done is set.  SUCCESS!  ... 
491.98764|FAPI|p9_cpu_special_wakeup_lib.H: << spwkup_check_xstop
491.98765|FAPI|p9_cpu_special_wakeup_lib.H: << p9_cpu_special_wakeup
491.98767|FAPI|p9_cpu_special_wakeup_ex.C: << p9_cpu_special_wakeup_ex
491.98768|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98773|FAPI|plat_utils.C: platSpecialWakeup : HUID=00060003, enable=1
491.98774|FAPI|p9_cpu_special_wakeup_ex.C: >> p9_cpu_special_wakeup_ex
491.98776|FAPI|p9_cpu_special_wakeup_lib.C: >> blockWakeupRecurssion
491.98781|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0080000000000000
491.98783|FAPI|p9_cpu_special_wakeup_ex.C: > set_addresses for EX
491.98785|FAPI|p9_cpu_special_wakeup_ex.C: < set_addresses for EX
491.98786|FAPI|p9_cpu_special_wakeup_lib.H: < spwkup_setup_entity
491.98787|FAPI|p9_cpu_special_wakeup_lib.H: Ignore XSTOP:  NO
491.98789|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000000F001A 0000000000000000
