444.44971|ISTEP 13.12 - mss_draminit_trainadv
444.50366|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008660701103F 0000000000003E3F
444.50371|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008670701103F 0000000000003E3D
444.50376|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008680701103F 0000000000000000
444.50381|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008690701103F 0000000000000000
444.50386|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000086A0701103F 0000000000000000
444.50391|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000086B0701103F 0000000000000000
444.50396|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C600701103F 0000000000003E3F
444.50401|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C610701103F 0000000000003F3E
444.50406|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C620701103F 0000000000003C3C
444.50410|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C630701103F 0000000000003C3D
444.50415|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C640701103F 0000000000003F3E
444.50420|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C650701103F 0000000000003E3F
444.50425|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C660701103F 0000000000003A3D
444.50430|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C670701103F 000000000000393A
444.50434|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C680701103F 0000000000000000
444.50439|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C690701103F 0000000000000000
444.50444|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C6A0701103F 0000000000000000
444.50449|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C6B0701103F 0000000000000000
444.50453|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010600701103F 0000000000003F3F
444.50458|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010610701103F 0000000000003E3F
444.50463|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010620701103F 0000000000003B3D
444.50468|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010630701103F 0000000000003B3F
444.50472|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010640701103F 0000000000000000
444.50478|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010650701103F 0000000000000000
444.50482|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010660701103F 0000000000000000
444.50487|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010670701103F 0000000000000000
444.50492|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010680701103F 0000000000000000
444.50497|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010690701103F 0000000000000000
444.50501|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000106A0701103F 0000000000000000
444.50506|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000106B0701103F 0000000000000000
444.50513|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000FE13
444.50514|FAPI|phy_cntrl.H: Read pc_init_cal_config1: 0x000000000000fe13
444.50516|FAPI|phy_cntrl.H: set init_cal refresh_control: 0
444.50517|FAPI|phy_cntrl.H: Writing to pc_init_cal_config1: 0x000000000000f213
444.50522|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000F213
444.50524|FAPI|ddr_phy.C: pu.mca:k0:n0:s0:p00:c1 rank pair: 0
444.50529|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
444.50531|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
444.50532|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
444.50534|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
444.50535|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
444.50541|FAPI|ddr_phy.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) rank pair 0 is on dimm: dimm:k0:n0:s0:p02 RDIMM (DDR4)
444.50546|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000500701103F 0000000000004E4C
444.50551|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000510701103F 0000000000004E4C
444.50556|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000520701103F 0000000000004C4A
444.50560|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000530701103F 0000000000005248
444.50566|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000540701103F 000000000000524A
444.50570|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000550701103F 000000000000564C
444.50575|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000560701103F 0000000000005052
444.50580|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000570701103F 0000000000005250
444.50585|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004500701103F 0000000000004A4C
444.50590|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004510701103F 0000000000004C4C
444.50595|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004520701103F 000000000000484A
444.50600|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004530701103F 0000000000004646
444.50605|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004540701103F 0000000000005454
444.50609|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004550701103F 0000000000005452
444.50614|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004560701103F 0000000000005250
444.50619|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004570701103F 0000000000005A4E
444.50624|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008500701103F 000000000000504A
444.50629|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008510701103F 0000000000004E50
444.50634|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008520701103F 0000000000005256
444.50639|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008530701103F 000000000000564E
444.50644|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008540701103F 0000000000004A44
444.50649|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008550701103F 000000000000464C
444.50654|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008560701103F 0000000000004844
444.50659|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008570701103F 0000000000004A48
444.50664|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C500701103F 0000000000004C50
444.50669|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C510701103F 0000000000004244
444.50673|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C520701103F 0000000000004A4E
444.50678|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C530701103F 0000000000004848
444.50683|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C540701103F 000000000000544E
444.50688|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C550701103F 0000000000004E4E
444.50693|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C560701103F 000000000000564E
444.50698|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C570701103F 000000000000584E
444.50703|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010500701103F 0000000000004850
444.50708|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010510701103F 0000000000004A48
444.50713|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010520701103F 0000000000004C4E
444.50717|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010530701103F 0000000000004C4C
444.50722|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000090701103F 000000000000BB77
444.50727|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004090701103F 000000000000FF33
444.50732|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008090701103F 000000000000FFFF
444.50737|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C090701103F 000000000000FF33
444.50743|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010090701103F 0000000000007700
444.50747|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
444.50752|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007D0701103F 0000000000000000
444.50757|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
444.50762|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047D0701103F 0000000000000000
444.50767|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
