438.79675|ISTEP 13. 9 - mss_ddr_phy_reset
438.96118|FAPI|adr32s.H: set_dll_cal_reset low
438.96119|FAPI|adr32s.H: set_dll_cal_reset low
438.96124|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000803A0701103F 0000000000000100
438.96129|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000843A0701103F 0000000000000100
438.96134|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000240701103F 0000000000008100
438.96138|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000250701103F 0000000000008100
438.96143|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004240701103F 0000000000008100
438.96148|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004250701103F 0000000000008100
438.96153|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008240701103F 0000000000008100
438.96158|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008250701103F 0000000000008100
438.96163|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C240701103F 0000000000008100
438.96168|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C250701103F 0000000000008100
438.96173|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010240701103F 0000000000008100
438.96177|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010250701103F 0000000000008100
438.96179|FAPI|dp16.H: set_dll_cal_reset low
438.96180|FAPI|dp16.H: set_dll_cal_reset low
438.96181|FAPI|dp16.H: set_dll_cal_reset low
438.96182|FAPI|dp16.H: set_dll_cal_reset low
438.96183|FAPI|dp16.H: set_dll_cal_reset low
438.96184|FAPI|dp16.H: set_dll_cal_reset low
438.96185|FAPI|dp16.H: set_dll_cal_reset low
438.96186|FAPI|dp16.H: set_dll_cal_reset low
438.96187|FAPI|dp16.H: set_dll_cal_reset low
438.96188|FAPI|dp16.H: set_dll_cal_reset high
438.96192|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000240701103F 0000000000000100
438.96197|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000250701103F 0000000000000100
438.96202|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004240701103F 0000000000000100
438.96207|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004250701103F 0000000000000100
438.96211|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008240701103F 0000000000000100
438.96216|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008250701103F 0000000000000100
438.96221|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C240701103F 0000000000000100
438.96226|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C250701103F 0000000000000100
438.96231|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010240701103F 0000000000000100
438.96235|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010250701103F 0000000000008100
438.96237|FAPI|conversions.H: converting 37382 cycles to 28036500ps
438.96245|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0000701103F 0000000000009001
438.96247|FAPI|ddr_phy.C: phy control dll/zcal stat 0x9001, remaining: 50
438.96248|FAPI|phy_cntrl.H: pc_dll_status: 0x0000000000009001
438.96254|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0000701103F 0000000000009001
438.96256|FAPI|phy_cntrl.H: pc_dll_status: 0x0000000000009001
438.96260|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000803E0701103F 000000000000547C
438.96265|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000002C0701103F 0000000000005498
438.96270|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000042C0701103F 0000000000005498
438.96275|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000082C0701103F 000000000000509A
438.96280|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C2C0701103F 000000000000547C
438.96285|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000102C0701103F 000000000000547E
438.96290|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000002D0701103F 000000000000549A
438.96295|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000042D0701103F 000000000000547E
438.96300|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000082D0701103F 000000000000547C
438.96305|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C2D0701103F 0000000000005498
438.96308|FAPI|p9_mss_ddr_phy_reset.C: set up of phase rotator controls pu.mcbist:k0:n0:s0:p00:c0
438.96310|FAPI|ddr_phy.C: pu.mcbist:k0:n0:s0:p00:c0 continuous update: 0x8024
438.96318|FAPI|ddr_phy.C: pu.mcbist:k0:n0:s0:p00:c0 Write 0x8024 into the ADR SysClk Phase Rotator Control Regs
438.96323|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800080320701103F 0000000000008024
438.96328|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800084320701103F 0000000000008024
438.96333|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000070701103F 0000000000008024
438.96338|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007F0701103F 0000000000008024
438.96343|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004070701103F 0000000000008024
438.96348|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047F0701103F 0000000000008024
438.96353|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008070701103F 0000000000008024
438.96358|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087F0701103F 0000000000008024
438.96363|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C070701103F 0000000000008024
438.96368|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7F0701103F 0000000000008024
438.96372|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010070701103F 0000000000008024
438.96378|FAPI|p9_mss_ddr_phy_reset.C: Wait at least 5932 memory clock cycles for clock alignment circuit to perform initial alignment pu.mcbist:k0:n0:s0:p00:c0
438.96380|FAPI|conversions.H: converting 5932 cycles to 4449000ps
438.96383|FAPI|p9_mss_ddr_phy_reset.C: Checking for bang-bang lock pu.mcbist:k0:n0:s0:p00:c0 ...
438.99692|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_ADR_SYSCLK_PR_VALUE_RO_P0_ADR32S0 0x000000000701103f
438.99698|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800080340701103F 0000000000003D80
438.99700|FAPI|ddr_phy.C: adr32s0 sysclk pr bb lock 0x3d80, remaining: 50
438.99704|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_ADR_SYSCLK_PR_VALUE_RO_P0_ADR32S1 0x000000000701103f
438.99709|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800084340701103F 0000000000003B80
438.99711|FAPI|ddr_phy.C: adr32s1 sysclk pr bb lock 0x3b80, remaining: 50
438.99716|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000730701103F 0000000000003CBA
438.99721|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK0 0x0000000000003cba
438.99878|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000730701103F 000000000000BCBB
438.99879|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbcbb, remaining: 50
438.99884|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK1 0x000000000000bcbb
438.99889|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000730701103F 000000000000BBBA
438.99891|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbbba, remaining: 50
438.99896|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004730701103F 000000000000BCB9
438.99900|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK0 0x000000000000bcb9
438.99905|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004730701103F 000000000000BCB9
438.99907|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbcb9, remaining: 50
438.99911|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK1 0x000000000000bcb9
438.99916|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004730701103F 000000000000BBB9
438.99917|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xbbb9, remaining: 50
438.99922|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008730701103F 000000000000B8BB
438.99927|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK0 0x000000000000b8bb
438.99932|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008730701103F 000000000000B83B
438.99933|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xb83b, remaining: 50
438.99938|FAPI|ddr_phy.C: checking pu.mca:k0:n0:s0:p00:c1 MCA_DDRPHY_DP16_SYSCLK_PR_VALUE_P0_0_01_BB_LOCK1 0x000000000000b83b
438.99943|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008730701103F 000000000000B8BB
438.99944|FAPI|ddr_phy.C: dp16 sysclk pr bb lock 0xb8bb, remaining: 50
438.99949|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C730701103F 000000000000BABA
